Status,Vessel type,Hull No.,Type,Dwt,GT,Size,Unit,CGT,Built,Builder,Yard Status,Contract Date,Owner,Owner Group,NB Price,Currency
On Order,LR2 ,H120,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-02,Jiangnan SY Group,Established <2000,2017-Sep-22,Petredec,Petredec,63.00,$m
On Order,LR2 ,H122,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-03,Jiangnan SY Group,Established <2000,2017-Sep-22,Petredec,Petredec,63.00,$m
On Order,LR2 ,773,L.P.G.,"55,000",,"80,000",cu.m.,"28,804",2019-05,Hyundai Samho HI,Established 2000-10,2017-Sep-01,Unknown,Unknown,,
On Order,LR2 ,N/A,L.P.G.,"55,000",,"80,000",cu.m.,"28,804",2019-07,Hyundai Samho HI,Established 2000-10,2017-Sep-01,Unknown,Unknown,,
On Order,LR2 ,N/A,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2019-03,Hyundai HI (Ulsan),Established <2000,2017-Jul-31,Vitol Group,Vitol Group,,
On Order,LR2 ,5996,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2019-05,Hyundai HI (Ulsan),Established <2000,2017-Jul-31,Vitol Group,Vitol Group,,
On Order,LR2 ,5997,L.P.G.,"54,140","46,884","82,200",cu.m.,"28,502",2020-01,Kawasaki HI Sakaide,Established <2000,2017-Jun-26,Kumiai Nav. Pte. Ltd,Kumiai Senpaku K.K.,,
On Order,LR2 ,5995,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-01,Jiangnan SY Group,Established <2000,2017-Jun-19,Petredec,Petredec,63.00,$m
On Order,LR2 ,5998,L.P.G.,"55,000",,"84,000",cu.m.,"28,804",2020-01,Jiangnan SY Group,Established <2000,2017-Jun-19,Petredec,Petredec,63.00,$m
On Order,LR2 ,752,L.P.G.,"55,000",,"83,000",cu.m.,"28,804",2019-02,JMU Tsu Shipyard,Established 2000-10,2016-May-27,Nippon Yusen Kaisha,Nippon Yusen Kaisha,74.00,$m
On Order,LR2 ,759,L.P.G.,"55,000",,"83,000",cu.m.,"28,804",2019-09,JMU Tsu Shipyard,Established 2000-10,2016-May-27,Nippon Yusen Kaisha,Nippon Yusen Kaisha,74.00,$m
On Order,LR2 ,755,L.P.G.,"51,000",,"83,000",cu.m.,"27,590",2020-01,MHI Nagasaki,Established <2000,2016-Apr-29,Nissen Kaiun,Nissen Kaiun,,
On Order,LR2 ,756,L.P.G.,"51,000",,"83,000",cu.m.,"27,590",2020-01,MHI Nagasaki,Established <2000,2016-Apr-29,Nissen Kaiun,Nissen Kaiun,,
On Order,LR2 ,749,Ethane/LPG,"50,000",,"85,000",cu.m.,"26,547",2019-01,DSIC Offshore,Established 2000-10,2015-Dec-11,Jaccar Holdings,Jaccar Holdings,,
On Order,LR2 ,758,Ethane/LPG,"50,000",,"85,000",cu.m.,"26,547",2020-01,DSIC Offshore,Established 2000-10,2015-Dec-11,Jaccar Holdings,Jaccar Holdings,,
On Order,LR2 ,746,L.P.G.,"51,000",,"83,000",cu.m.,"27,590",2019-03,MHI Nagasaki,Established <2000,2015-Dec-01,JX Ocean,JXTG Holdings,,
