Flag,VesselName,VoyageNo,EmploymentStatus,OpenPort,OpenPortDate,Cargo,RepositionPort,RepositionDate,CurrentStatus,Comments,DWT,Type,IceClass,CompleteGMT,UpdatedBy,ROWIDT,LastCargoGrade,CommenceGMT,Fkey_Dim_Vessel_Id,Fkey_Dim_Voyage_Id,Estimate,UID
NA,STI Esles II,8,Unfixed,LAS PALMAS,2019-02-12T11:00:00Z,GASOLINE/ULSD 10 PPM/JET A1,LAS PALMAS,2019-02-09,Prompt,NA,49990,MR,YES,2019-02-12T11:00:00Z,rstudio,24,CPP,2019-02-03T18:00:00Z,872,12928,0,872_1549216800
NA,STI Jardins,9,Unfixed,YOSU,2019-02-04T03:00:00Z,GASOLINE/CPP/GASOLINE+MTBE(CPP),YOSU,2019-02-09,Prompt,NA,49990,MR,YES,2019-02-04T03:00:00Z,rstudio,25,CPP,2018-12-30T06:00:00Z,873,12945,0,873_1546149600
NA,STI La Boca,14,Unfixed,ACAJUTLA,2019-02-10T07:28:37Z,CPP/ULSD 10 PPM/GASOLINE,ACAJUTLA,2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-02-10T07:28:37Z,rstudio,26,CPP,2019-01-13T21:30:00Z,874,13816,1,874_1549783717
NA,STI Ville,64,Unfixed,FREEPORT (BAHAMAS),2019-02-11T06:00:00Z,NAPHTHA+GASOLINE/GASOLINE/VEG OIL,FREEPORT (BAHAMAS),2019-02-09,Arrived Discharge Port,NA,49999,MR,N,2019-02-11T06:00:00Z,rstudio,27,CPP,2019-01-26T18:00:00Z,875,13776,1,875_1549864800
NA,STI Opera,61,Unfixed,CJK,2019-02-07T04:00:00Z,GAS OIL/GAS OIL+GASOLINE/ULSD 10 PPM,CJK,2019-02-09,Prompt,NA,49990,MR,NO,2019-02-07T04:00:00Z,rstudio,28,CPP,2018-12-23T04:54:00Z,877,13940,0,877_1545540840
NA,CPO Germany,109,Unfixed,BANTRY BAY,2019-02-12T02:00:00Z,GASOLINE/REFO+NAPHTHA/ULSD 10 PPM,BANTRY BAY,2019-02-09,In Laden Leg,NA,37297,HANDYMAX,Yes,2019-02-12T02:00:00Z,rstudio,29,CPP,2019-01-26T20:18:00Z,878,13602,1,878_1549936800
NA,Star I,47,Unfixed,PROVIDENCE,2019-02-12T03:33:42Z,CPP/CPP/GASOLINE,PROVIDENCE,2019-02-09,Arrived Discharge Port,NA,37900,HANDYMAX,Yes,2019-02-12T03:33:42Z,rstudio,30,CPP,2019-02-02T04:30:00Z,879,13699,1,879_1549942422
NA,STI Benicia,32,Unfixed,AT SEA,2019-02-08T12:00:00Z,MIXED AROMATICS/NAPHTHA/GAS OIL,AT SEA,2019-02-09,Prompt,NA,49990,MR,No,2019-02-08T12:00:00Z,rstudio,31,CPP,2019-02-05T08:48:00Z,881,13371,0,881_1549356480
NA,STI Yorkville,49,Unfixed,MANZANILLO (MEXICO),2019-02-15T14:00:00Z,GASOLINE/ULSD 10 PPM/GASOLINE,MANZANILLO (MEXICO),2019-02-09,Arrived Discharge Port,NA,49990,MR,NO,2019-02-15T14:00:00Z,rstudio,32,CPP,2019-01-24T19:00:00Z,882,14018,1,882_1550239200
NA,STI Duchessa,60,Unfixed,BOTANY BAY,2019-02-15T07:00:00Z,GASOLINE/GAS OIL (FAME FREE)/CONDENSATE,BOTANY BAY,2019-02-09,In Laden Leg,NA,49990,MR,-,2019-02-15T07:00:00Z,rstudio,33,CPP,2018-12-12T12:42:00Z,890,13190,1,890_1550214000
NA,STI Broadway,38,Unfixed,NOVOROSSIYSK,2019-02-09T16:04:37Z,ULSD 10 PPM/CONDENSATE/NAPHTHA,NOVOROSSIYSK,2019-02-09,Prompt,NA,109999,LR2,No,2019-02-09T16:04:37Z,rstudio,34,CPP,2019-01-15T01:36:00Z,918,13820,0,918_1547516160
NA,STI Gauntlet,12,Unfixed,MOMBASA,2019-02-26T06:23:04Z,CPP/GASOLINE/NAPHTHA,MOMBASA,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-26T06:23:04Z,rstudio,35,CPP,2019-01-23T00:48:00Z,919,12935,1,919_1551162184
NA,STI Gratitude,9,Unfixed,LE HAVRE,2019-02-18T16:36:14Z,JET A1/NAPHTHA/ULSD 10 PPM,LE HAVRE,2019-02-09,In Laden Leg,NA,109999,LR2,N/A,2019-02-18T16:36:14Z,rstudio,36,CPP,2018-12-25T03:30:00Z,921,13875,1,921_1550507774
NA,STI Guide,11,Unfixed,YOSU,2019-03-13T15:41:46Z,CPP/GAS OIL/NAPHTHA,YOSU,2019-02-09,Prompt,NA,109999,LR2,No,2019-02-10T17:00:00Z,rstudio,37,CPP,2019-01-14T16:00:00Z,923,13369,0,923_1547481600
NA,STI Kingsway,27,Unfixed,AIN SUKHNA TERMINAL,2019-03-06T05:23:37Z,CPP/NAPHTHA/ULSD 10 PPM,AIN SUKHNA TERMINAL,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-03-06T05:23:37Z,rstudio,38,CPP,2019-01-30T08:00:00Z,924,13323,1,924_1551849817
NA,STI Lauren,25,Unfixed,ROTTERDAM,2019-03-06T02:07:00Z,CPP/NAPHTHA+GASOLINE/ULSD 10 PPM,ROTTERDAM,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-03-06T02:07:00Z,rstudio,39,CPP,2019-01-02T03:06:00Z,925,13894,1,925_1551838020
NA,STI Lombard,29,Unfixed,YOSU,2019-02-25T07:07:37Z,NAPHTHA/GAS OIL (FAME FREE)/ULSD 10 PPM,YOSU,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-25T07:07:37Z,rstudio,40,CPP,2018-12-08T17:18:00Z,926,13907,1,926_1551078457
NA,STI Madison,38,Unfixed,ROTTERDAM,2019-02-26T21:02:00Z,CPP/GAS OIL/CONDENSATE,ROTTERDAM,2019-02-09,Arrived Load Port,NA,109999,LR2,No,2019-02-26T21:02:00Z,rstudio,41,CPP,2019-01-27T06:00:00Z,927,13909,1,927_1551214920
NA,STI Jermyn,22,Unfixed,GALLE,2019-02-10T15:05:00Z,NAPHTHA/NAPHTHA/NAPHTHA,GALLE,2019-02-09,Prompt,NA,109999,LR2,No,2019-02-10T15:05:00Z,rstudio,42,CPP,2019-02-02T08:30:00Z,929,13322,0,929_1549096200
NA,STI Nautilus,8,Unfixed,SAKAI,2019-02-27T06:00:00Z,NAPHTHA/NAPHTHA/JET A1,SAKAI,2019-02-09,In Laden Leg,NA,109999,LR2,No,2019-02-27T06:00:00Z,rstudio,43,CPP,2018-12-28T07:00:00Z,930,13938,1,930_1551247200
