tonnageId,EmploymentStatus,Owners,OpenPort,Operators,CargoType,Comment,ETABasis,OpenDate,ReportType,ReportTimestamp,RepositionRegion,Source,VesselName,Built,DWT,Cubics,LOA,ICE,SternLine,VesselType
5994,,Union Maritime Ltd,,union maritime,CPP,ex lome,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,WEMBLEY,2000,74999,83776,228,No,,
5977,,New Continent Int.,,straits tankers,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SUMMIT AFRICA,2009,73427,84005,228,No,,
6037,,Gulf Energy Maritime,,gem,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,GULF CASTLE,2009,74999,84577,228,No,,
6043,,,,,CPP,eafr opts,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,nordic basel,2008,74000,84000,,,,
6053,,,1-feb,,,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,sks tanaro,99,109000,117000,,,,
6067,,,,,,f.o.c./owners matters,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,tyrrhenian sea,None,116000,125000,,,,
5953,,Tsakos Group,,tsakos,CPP,f.o.c. / hold ag/east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SUNRISE,2016,74043,83104,228,No,,
5970,,TORM A/S,8-feb,torm,CPP,ex waf/subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TORM VENTURE,2007,73701,84156,228,No,,
6113,,Sinokor Merchant,,sinokor merchant marine,DPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PACIFIC NAFSIKA,2016,109999,124511,256,No,,
6070,,Scorpio Group,,Scorpio,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI JERMYN,2016,109999,129900,256,No,,
6080,,,,,DPP,west opts,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,marlin lily,19,115000,123000,,,,
5967,,Prime Marine Mgmt,6-feb,prime marine,CPP,alongside,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PIKE,2008,73981,84325,229,No,,
6003,,TB Marine Hamburg,,navig8,CPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HERMIONE,2008,73981,84142,232,No,,
6013,,Prime Marine Mgmt,,prime marine,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FLAGSHIP TULIP,2013,74435,82941,228,No,,
6027,,Hafnia Tankers,,straits tankers,CPP,unc.,30.01.20,12-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAFNIA AUSTRALIA,2010,74252,83078,228,No,,
6078,,,,,DPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,marlin siena,2019,150.0,169.0,275.0,,,
6088,,Latsco Shipping,,navig8,DPP,,30.01.20,13-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CAPTAIN JOHN,2014,113876,127750,251,No,,
5981,,Dynacom Tankers Mgmt,,dynacom,CPP,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CONSTANTINOS,2009,73307,84113,228,No,,
6094,,Fredriksen Group,,frontline,DPP,ex east,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FRONT VEGA,2017,109895,123164,252,No,,
5991,,ADNOC,,adnatco,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,YAMILAH-III,2011,74866,85000,228,No,,
6030,,Formosa Plastics Grp,,formosa plastics,CPP,,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FPMC P FORTUNE,2009,73800,83131,228,No,,
6040,,Enterprises Shipping,,golden energy marine,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ENERGY CENTAUR,2008,74995,84694,227,No,,
5978,,Jo Shipping A/S,,jo invest as,CPP,ex wafr/subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,JO PROVEL,2013,74500,80453,228,No,,
5988,,Mitsui O.S.K. Lines,,straits tankers,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,KAMOME VICTORIA,2011,74998,84274,228,No,,
6110,,China COSCO Shipping,,china shipping,DPP,unc.,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TAO LIN WAN,2012,110929,122471,244,Yes,,
6038,,China COSCO Shipping,,china shipping,CPP,,30.01.20,13-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,JING YU ZUO,2010,75568,80549,229,Yes,,
6048,,,,,CPP,,30.01.20,20-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,diyyinah-i,2011,74 953,80.0,228.0,,,
6054,,,5-feb,,,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,caspian sea,None,116000,125000,,,,
6064,,,,,,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,breeze,2018,157000,165000,,,,
